x,deltaK_shape,deltaz1_shape
1e-08,1.1827200306040003e-46,1.290666702189167e-55
1.084365968689611e-08,1.9228137957686352e-46,2.27533455632889e-55
1.1758495540521558e-08,3.126025431387135e-46,4.011219422843451e-55
1.2750512407130128e-08,5.082153571570628e-46,7.07143537061848e-55
1.3826221737646563e-08,8.262339989716769e-46,1.2466333286974643e-54
1.499268432786047e-08,1.3432546096911126e-45,2.1977075023052518e-54
1.6257556664437936e-08,2.1838038003295957e-45,3.874369596746954e-54
1.762914118095948e-08,3.5503314153878435e-45,6.830180886610574e-54
1.9116440753857035e-08,5.771971438533813e-45,1.2041022363444055e-53
2.0729217795953697e-08,9.383815311908664e-45,2.1227288415047635e-53
2.2478058335487254e-08,1.5255790985234501e-44,3.742188661590362e-53
2.4374441501222216e-08,2.4802188762033314e-44,6.5971572585290495e-53
2.6430814869741028e-08,4.03222991346413e-44,1.163022173618316e-52
2.8660676169482502e-08,6.555420668043129e-44,2.0503082221134385e-52
3.107866187782014e-08,1.065751236367548e-43,3.614517335266336e-52
3.370064329271925e-08,1.7326511232993937e-43,6.372083686426841e-52
3.654383070957255e-08,2.8168674023979447e-43,1.1233436380394577e-51
3.9626886387014785e-08,4.5795381776034574e-43,1.980358375777104e-51
4.297004704320844e-08,7.445210206341137e-43,3.4912017716704356e-51
4.659525668664677e-08,1.2104092794367485e-42,6.15468895380785e-51
5.05263106533568e-08,1.9678297647771627e-42,1.0850188166548311e-50
5.478901179593945e-08,3.1992104259709856e-42,1.9127950127215937e-50
5.94113398496504e-08,5.201134540377673e-42,3.3720933758496806e-50
6.44236350872137e-08,8.455774060625047e-42,5.944711101831262e-50
6.985879746785249e-08,1.374702278656773e-41,1.0480015286190398e-49
7.575250258771921e-08,2.2349300532832932e-41,1.8475367205575498e-49
8.214343584919422e-08,3.6334502583176925e-41,3.25704862566143e-49
8.907354638610439e-08,5.907102452129688e-41,5.741897115021407e-49
9.658832241158708e-08,9.603505470555893e-41,1.0122471698084813e-48
1.0473708979594487e-07,1.5612953765690171e-40,1.7845048666800366e-48
1.1357333583431052e-07,2.538284863486497e-40,3.1459288997890266e-48
1.2315506032928263e-07,4.126631102175791e-40,5.54600261821993e-48
